,S.I,Individual Name,,Baseline Name Matching ,Partial / Close Name Handling,Alias-Based Matching,Observations,Implementation Status,Implementation Notes,Retest Comments
,36,"BOSHAB, Evariste",Evariste Boshab,Pass,Pass,"Pass
(BOSHAB, Evarist / BOSHAB MABUTSH, Evariste
 / BOSHAB MABUDJ, Evariste
/ BOSHAB MABUDJ-MA-BILENGE, Evariste
/ BOSHAB MABUDJ MA BILENGE, Evariste
/ MULUMBU BOSHAB, Evariste )",-,Pass,,
,37,"RODRIGUEZ RODRIGUEZ, Caryslia Beatriz",Caryslia Beatriz Rodriguez Rodriguez,Pass,Pass,N/A,-,Pass,,
,38,"KIM, Se Un",Se Un Kim,Pass,Pass," Pass
(KIM, Se-u'n)",-,Pass,,
,39,"AHMAD, Tariq Anwar al-Sayyid",Tariq Anwar Al-Sayyid Ahmad,Pass,Pass,"Pass
(FATHI, Amr Al-Fatih / FARAG, Hamdi Ahmad)",-,Pass,,
,40,"AWALE, Mohamed Jumale Ali",Mohamed Jumale Ali Awale,Pass,Pass,N/A,-,Pass,,
,41,"CHERBOV, Gleb Sergeyevich",Gleb Sergeyevich Cherbov,Pass,Pass,N/A,-,Pass,,
,42,"AKBULUT, Cerkez",Cerkez Akbulut,Pass,Pass,"Pass
(MURAT, Cernit / MURAT, Altig)",-,Pass,,
,43,"LI, Fangwei",Fangwei Li,Pass,Pass,"Pass
(LEE, Karl)",-,Pass,,
,44,"GASHASBI, Mansoor",Mansoor Gashasbi,Pass,Pass,N/A,-,Pass,,
,45,"TSUDA, Chikara",Chikara Tsuda,Pass,Pass,N/A,-,Pass,,
,46,"JUBAYR AL-RAWI, Fawaz Muhammad",Fawaz Muhammad Jubayr Al-Rawi,Pass,Pass,"Pass
(JABIR AL-RAWI, Fawaz Muhamed / JUBAYR AL-RAWI, Fawwaz Muhammad / JABUR AL-RAWI, Fawwaz / AL-ARWEE, Hajji Fouaz / AL-RAWI, Hajj Fawaz)",-,Pass,,
,47,"IQBAL, Zafar",Zafar Iqbal,Pass,Pass,"Pass
(SHEHBAZ, Malik Zafar Iqbal / SHAHBAZ, Malik Zafar Iqbal / IQBAL, Malik Zafar / IQBAL, Zaffer / CHAUDHRY, Zafar Iqbal / IQBAL, Muhammad Zafar)",-,Pass,,
,48,"CHUOL, James Koang",James Koang Chuol,Pass,Pass,"Pass
(CHOL, James Koang / RANLEY, Koang Chuol / RANLEY, James Koang Chol / CHUAL, James Koang)",-,Pass,,
,49,"KIM, Tong-Myo'ng",Tong-Myo'Ng Kim,Pass,Pass,"Pass
(KIM, CHIN-SO'K / KIM, JIN SOK / KIM, TONG MYONG / KIM, HYOK CHOL)",-,Pass,,
,50,"AL-SAYYID, Ibrahim Amin",Ibrahim Amin Al-Sayyid,Pass,Pass,"Pass
(SAYYED, Ibrahim Amin / AL-AMIN, Ibrahim)",-,Pass,,
,,,,,,,,,,
,,,,General Observations:,,,,,,
,,,,"1. Search results for tested names frequently returned a higher number of matches compared to OFAC reference search results. However, the true sanctioned matches are consistently listed and in most cases, ranked among the top results. No material suppression of relevant sanctioned parties was observed. The higher result volume reflects broader matching sensitivity rather than a recall deficiency. This represents a calibration consideration rather than a compliance gap.",,,,,,
,,,,"2. Hyphen and spacing normalization was tested across Individuals, entities, vessels and aircraft identifiers. Matching behavior was observed to be consistent with OFAC reference search behavior. No material suppression of sanctioned names or identifiers was identified based on the tested formatting variations.",,,,,,
,,,,"3. The system has a configurable setting that allows users to limit the number of search results returned (range: 1–100, default: 50). While this provides flexibility for performance and usability, restricting the number of returned results may introduce an operational visibility risk. True matches could fall outside the configured result range, particularly in high-noise name searches.",,,,,,
