,S.I,Entity / Organization Name,Baseline Name Matching ,Partial / Close Name Handling,Alias-Based Matching,Observations,Implementation Status,Implementation Notes,Retest Comments,Implementation Notes,Retest Comments,Implementation Notes,Retest Comments,Implementation Notes
,11,BANK MARKAZI JOMHOURI ISLAMI IRAN,Pass,Pass,"Pass
(CENTRAL BANK OF THE ISLAMIC REPUBLIC OF IRAN / BANK MARKAZI IRAN / CENTRAL BANK OF IRAN)",-,Pass,,-,,-,,,
,12,BANK MASKAN,Pass,"Screening using MASKAN did not list the sanctioned entity. Also, watchman listed a different set of hits compared to OFAC.","Pass
(HOUSING BANK - OF IRAN)",Partial-name handling gap resulting in potential false negatives.,Pass,"Expanded suffix list (13 → 37 suffixes) including:

Space-separated variants after punctuation removal: "" s a"", "" s c"", "" de c v""
Russian organizations: "" ojsc"", "" oao"", "" ooo"", "" jsc""
International variants: "" gmbh"", "" ag"", "" se"", "" plc""
Fixed pipeline order in Entity.java:
Moved company suffix removal BEFORE stopword removal (matching Go implementation)

",-,,-,,,
,13,AUM SHINRIKYO,Pass,"Partial-name handling resulted in unrelated alias matches in Score Trace Report. Score Trace showed SHINRIKYO matched with SUNRISE & SOMERSET, though the correct entity was also listed in search result.","Pass
(AUM SUPREME TRUTH / A.I.C. SOGO KENKYUSHO / A.I.C. COMPREHENSIVE RESEARCH INSTITUTE / ALEPH)","It appears close-name matching is broad, causing unrelated entities to appear in results.",Pass,"Enhanced JaroWinklerSimilarity.phoneticSetsMatch() with two-layer protection

Minimum Token Length Filter: Tokens ≤4 characters cannot use phonetic matching (must match via exact/near-exact Jaro-Winkler)
Tightened Length Validation: Reduced threshold from 30% to 10% length difference for phonetic acceptance
",-,,-,,,
,14,GAMA'A AL-ISLAMIYYA,Pass,"Partial-name search (AL-ISLAMIYYA) listed only the primary entity, while OFAC lists multiple related names.","Alias search (ISLAMIC GROUP) listed only the primary entity, unlike OFAC, which listed multiple related names.",Incomplete alias and entity name coverage compared to OFAC reference data.,Pass,"Added query coverage boost in JaroWinklerSimilarity.bestPairJaro() - when ALL query tokens match with scores ≥0.95, applies 8% boost capped at 1.0, prioritizing alias substring matches. Implemented tie-breaker in SearchServiceImpl - when scores are tied, sorts alphabetically by entity name, then by matched alias token count (longer = more specific). ",-,,-,,,
,15,HIZBALLAH,Pass,Pass,Pass (multiple aliases),-,Pass,,-,,-,,,
,16,PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION,Pass,"Partial-name search (ISLAMIC JIHAD) listed a different entity (HIZBALLAH), while OFAC lists several matching records, including the main entity.","Alias ""PIJ"" was not detected for the main entity instead matched against an unrelated alias ""PKK"". ",Using partial names or acronyms shows unrelated results while missing valid OFAC records.,Pass,"Enhanced JaroWinklerSimilarity.phoneticSetsMatch() with two-layer protection

Minimum Token Length Filter: Tokens ≤4 characters cannot use phonetic matching (must match via exact/near-exact Jaro-Winkler)
Tightened Length Validation: Reduced threshold from 30% to 10% length difference for phonetic acceptance
",-,,-,,,
,17,AL-QUDS BRIGADES,Pass,"Partial-name search (AL-QUDS) listed a different entity (IRGC-QODS FORCE), while OFAC lists several matching names, including the main entity.",N/A,Partial-name searches prioritize unrelated entities and missed valid OFAC records.,Pass,Added MIN_TOKEN_LENGTH = 3 filtering in JaroWinklerSimilarity to filter tokens < 3 characters AFTER acronym collapsing,-,,-,,,
,18,SAYARA AL-QUDS,Pass,"Partial-name search (SAYARA) listed a different entity (SANABEL RELIEF AGENCY LIMITED with alias SRA), while OFAC lists the main entity.",N/A,Partial-name searches create unrelated matches and miss valid entity results.,Pass,"Enhanced JaroWinklerSimilarity.phoneticSetsMatch() with two-layer protection

Minimum Token Length Filter: Tokens ≤4 characters cannot use phonetic matching (must match via exact/near-exact Jaro-Winkler)
Tightened Length Validation: Reduced threshold from 30% to 10% length difference for phonetic acceptance
",-,,-,,,
,19,ABU GHUNAYM SQUAD OF THE HIZBALLAH BAYT AL-MAQDIS,Pass,"Partial-name search on ""THE HIZBALLAH BAYT AL-MAQDIS"" didn’t give any results and ""HIZBALLAH BAYT AL-MAQDIS"" listed ""HIZBALLAH"" and omitted the main entity.",N/A,"It appears multiple sanctioned groups are treated as one broader entity, reducing accuracy.",Pass,"Added query coverage boost in JaroWinklerSimilarity.bestPairJaro() - when ALL query tokens match with scores ≥0.95, applies 8% boost capped at 1.0, prioritizing alias substring matches. Implemented tie-breaker in SearchServiceImpl - when scores are tied, sorts alphabetically by entity name, then by matched alias token count (longer = more specific). ",-,,-,,,
,20,SHINING PATH,Pass,Pass,"Pass (aliases including short names SPP, EGP, PCP, EPL,SL)",-,Pass,,-,,-,,,
,21,AL QA'IDA,"Direct name and aliases detected; however, several other OFAC-listed entities were omitted (e.g., 
AL-QA'IDA KURDISH BATTALIONS;
AL-QAIDA GROUP OF JIHAD IN IRAQ;
AL-QA'IDA IN YEMEN;
AL-QAIDA IN SYRIA).",Pass,Pass,Not all related OFAC-listed entities are shown in the results.,Pass,"Changed limit semantics in SearchServiceImpl.java (lines 46-117):

Before: limit(20) applied to total results (including aliases)
After: limit(20) applies to unique entities, THEN expands aliases","There are more results in OFAC like AL-QAIDA GROUP OF JIHAD IN IRAQ;
AL-QAIDA IN SYRIA, which are not listed in Watchman.","Partially Fixed:
- AL-QAIDA GROUP OF JIHAD IN IRAQ now visible (position 7)
- Solution: Limit semantics change (unique entities before alias expansion)

Finding 2: AL-QAIDA IN SYRIA (HURRAS AL-DIN)
FOUND at lower threshold, FILTERED OUT at 88%

Details:
Primary name: ""HURRAS AL-DIN""
Alias: ""AL-QAIDA IN SYRIA""
Watchman (threshold 0.88): NOT FOUND
Watchman (threshold 0.70): Position 2, Score 100% 
OFAC (threshold 88%): Position 8
Root Cause: With threshold 0.88, HURRAS AL-DIN is filtered out before the alias boost can be applied. OFAC's threshold might work differently - they may apply the 88% threshold AFTER alias boosting, while we apply it BEFORE.

Critical Discovery: When we lower the threshold to 0.70, HURRAS AL-DIN appears at position 2 with 100% score (boosted). The issue is the ORDER OF OPERATIONS:

Watchman Flow:
Calculate base score (47.92%)
Filter by threshold (47.92% < 88% = FILTERED OUT )
Apply alias boost (never reached)

OFAC Flow (suspected):
Calculate base score (47.92%)
Apply alias boost (47.92% → 100%)
Filter by threshold (100% > 88% = PASSES)
","Below entities or aliases are not listed in Watchman for the keyword ""AL QA'IDA"".
a.  https://sanctionssearch.ofac.treas.gov/Details.aspx?id=27318
b. https://sanctionssearch.ofac.treas.gov/Details.aspx?id=6897","Change: .limit(limit) now applies to unique entities BEFORE alias expansion, not total results.","The same issues persist.
Below entities were not listed in Watchman.
a. https://sanctionssearch.ofac.treas.gov/Details.aspx?id=6366
b. https://sanctionssearch.ofac.treas.gov/Details.aspx?id=8759
c. https://sanctionssearch.ofac.treas.gov/Details.aspx?id=27318

The search results are limited to the top 5 entries. Please remove this restriction.","Added configurable limit input (default 50, max 100) 

"
,22,TALIBAN,"Direct name and aliases detected; however, several other OFAC-listed entities were omitted (e.g., 
KURDISH TALIBAN;
TEHREEK-E-TALIBAN;
TEHRIK-E-TALIBAN-TARIQ GIDAR GROUP).",Pass,Pass,Not all related OFAC-listed entities are shown in the results.,Pass,"Solution
Changed limit semantics in SearchServiceImpl.java (lines 46-117):

Before: limit(20) applied to total results (including aliases)
After: limit(20) applies to unique entities, THEN expands aliases",TEHREEK-E-TALIBAN or its main entity TEHRIK-E TALIBAN PAKISTAN (TTP) is not getting listed in Watchman.,"Modified limit semantics to apply to unique entities first, then expand aliases.
","Below entities or aliases are not listed in Watchman for the keyword ""TALIBAN"".
https://sanctionssearch.ofac.treas.gov/Details.aspx?id=12206","Change: .limit(limit) now applies to unique entities BEFORE alias expansion, not total results.","The same issues persist.

The search results are limited to the top 5 entries. Please remove this restriction.","Added configurable limit input (default 50, max 100) 
"
,23,GALAPAGOS S.A,Pass,"Screening using GALAPAGOS (without “S.A.”) failed to list the entity. Hits were instead generated on unrelated enities with aliases “GLBC” and ""GLAVGOSEKSPERTIZA"".",N/A,Partial-name suppression increases the risk of missed entity-level sanctions hits.,Pass,"Expanded suffix list (13 → 37 suffixes) including:

Space-separated variants after punctuation removal: "" s a"", "" s c"", "" de c v""
Russian organizations: "" ojsc"", "" oao"", "" ooo"", "" jsc""
International variants: "" gmbh"", "" ag"", "" se"", "" plc""
Fixed pipeline order in Entity.java:
Moved company suffix removal BEFORE stopword removal (matching Go implementation)

",-,,-,,,
,24,CONTINUITY IRA,Pass,"Partial-name search (IRA) listed different entities (IARA, ISLAMIC RELIEF AGENCY, etc.), while OFAC lists a different set of names, including the main entity.","Pass
(CONTINUITY ARMY COUNCIL / CONTINUITY IRISH REPUBLICAN ARMY / REPUBLICAN SINN FEIN / CIRA)",Using partial names or acronyms shows unrelated results while missing valid OFAC records.,Pass,"Enhanced JaroWinklerSimilarity.phoneticSetsMatch() with two-layer protection

Minimum Token Length Filter: Tokens ≤4 characters cannot use phonetic matching (must match via exact/near-exact Jaro-Winkler)
Tightened Length Validation: Reduced threshold from 30% to 10% length difference for phonetic acceptance
",-,,-,,,
,25,ORANGE VOLUNTEERS,Pass,Pass,N/A,-,Pass,,-,,-,,,
,26,ACCESOS ELECTRONICOS S.A.DE C.V.,Full name without punctuation (ACCESOS ELECTRONICOS SADE CV) didn’t return the entity.,Pass,N/A,Sensitivity to punctuation and formatting may suppress valid entity matches.,Pass,"System now collapses adjacent single-letter tokens during matching. When ""T.E.G."" is normalized, it becomes [""t"", ""e"", ""g""] which then merges to [""teg""], matching queries typed as ""TEG"".

Implementation in `JaroWinklerSimilarity.collapseAcronymTokens()` (lines 274-310). Applied during both query processing and entity comparison.",-,,-,,,
,27,GEX EXPLORE S. DE R.L. DE C.V.,Pass,Name order variation (EXPLORE GEX) didn’t return the main entity.,N/A,Entity name-order handling remains inconsistent.,Pass,"The entity is being returned when searching ""EXPLORE GEX"". Testing confirms:

Entity appears in search results at position #6
Match score: 85.4% (above 70% threshold)
Token order independence is functioning correctly
Why It's Not Position #1:
The HERBY vessel (with alias ""EXPLORER"") ranks higher at 89.8% because:

""EXPLORER"" is phonetically closer to ""EXPLORE"" than ""GEX EXPLORE"" is to ""EXPLORE GEX""
The system correctly prioritizes stronger matches",-,,-,,,
,28,ASKATASUNA,Pass,Pass,"Pass (aliases including short names EKIN, XAKI, ETA, K.A.S.)",-,Pass,,-,,-,,,
,29,"FORPRES, S.C.",Pass,Pass,N/A,-,Pass,,-,,-,,,
,30,"ADP, S.C.",Pass,Screening using ADP (without “S.C.”) failed to list the entity. Hits were instead generated on unrelated enities with alias “ADF”.,N/A,Partial-name suppression increases the risk of missed entity-level sanctions hits.,Pass,"Solution:
Expanded suffix list (13 → 37 suffixes) including:

Space-separated variants after punctuation removal: "" s a"", "" s c"", "" de c v""
Russian organizations: "" ojsc"", "" oao"", "" ooo"", "" jsc""
International variants: "" gmbh"", "" ag"", "" se"", "" plc""
Fixed pipeline order in Entity.java:
Moved company suffix removal BEFORE stopword removal (matching Go implementation)

",-,,-,,,
,31,T.E.G. LIMITED,Full name without punctuation (TEG LIMITED) didn’t return the entity.,Pass,N/A,Sensitivity to punctuation and formatting may suppress valid entity matches.,Pass,"Solution:
System now collapses adjacent single-letter tokens during matching. When ""T.E.G."" is normalized, it becomes [""t"", ""e"", ""g""] which then merges to [""teg""], matching queries typed as ""TEG"".

Implementation in `JaroWinklerSimilarity.collapseAcronymTokens()` (lines 274-310). Applied during both query processing and entity comparison.",-,,-,,,
,32,ZDRAVO,Pass,Pass,N/A,-,Pass,,-,,-,,,
,33,INVERSIONES MACARNIC PATINO Y CIA S.C.S.,Pass,Pass,N/A,-,Pass,,-,,-,,,
,34,LAKOKRASKA OAO,Pass,Pass,"Pass
(LAKOKRASKA OPEN JOINT-STOCK COMPANY)",-,Pass,,-,,-,,,
,35,OFFICE 39,"Direct name and aliases detected; however, several other OFAC-listed entities were omitted.",Pass,"Pass
(OFFICE #39 / OFFICE NO. 39 / BUREAU 39 / CENTRAL COMMITTEE BUREAU 39 / DIVISION 39 / THIRD FLOOR)",Not all related OFAC-listed entities are shown in the results.,Pass,Changed limit semantics in SearchServiceImpl.java - limit applies to unique entities BEFORE alias expansion. OFFICE 39 returned correctly with all aliases ,"Still, some OFAC listed entities are not returned by Watchman. (Eg: CYBER CRIME OFFICE, ALSARAF HAWALA OFFICE, CENTRAL PUBLIC PROSECUTORS OFFICE)","Finding 1: ALSARAF HAWALA OFFICE
Status: Entity exists and is found, but RANKING ISSUE

Details: Primary name: ""WADI ALRRAFIDAYN FOR FOODSTUFFS""
Alias (fka): ""ALSARAF HAWALA OFFICE""
Watchman: Position 31 (out of top 20)
OFAC: Position 2
Root Cause: We find the entity correctly via alias matching, but it ranks lower than OFAC ranks it. This is a scoring/ranking difference, not a missing entity.","Many entities or aliases are not listed in Watchman for the keyword ""OFFICE 39"". Some of them are,
a. https://sanctionssearch.ofac.treas.gov/Details.aspx?id=40397
b. https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30184
c. https://sanctionssearch.ofac.treas.gov/Details.aspx?id=40776
d. https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15555
e. https://sanctionssearch.ofac.treas.gov/Details.aspx?id=34657
","We've identified a difference in search behavior between Watchman and OFAC.gov for multi-word queries like ""OFFICE 39"":

OFAC.gov approach (token-based OR logic):

Returns entities matching ANY word in the query
Search ""OFFICE 39"" returns:
OFFICE 39 (matches both tokens) ✓
CONFIDERI FAMILY OFFICE (matches ""OFFICE"" only) ✓
CENTRAL PUBLIC PROSECUTORS OFFICE (matches ""OFFICE"" only) ✓
All 5 entities you referenced are valid matches
Watchman approach (phrase-based fuzzy matching):

Scores overall similarity to the complete phrase ""OFFICE 39""
Entities matching only ""OFFICE"" (without ""39"") score low on the full phrase
Currently filters out partial token matches
Question for compliance:
Should Watchman adopt OFAC.gov's token-based OR behavior for multi-word queries? This would:

- Achieve complete parity with OFAC.gov search results
- Return all entities you referenced (30184, 34657, 40776, etc.)
- Increase false positives (e.g., ""John Smith"" would return all ""John"" + all ""Smith"" entities)

What's the preferred behavior from a BSA/AML compliance perspective?","Screening engines are not expected to replicate OFAC.gov’s token-based OR search behavior. OFAC.gov functions as a public lookup tool and is not designed as a production-grade screening standard.

The objective is to ensure that sanctioned parties are reliably identified without creating excessive operational noise. While adopting token-based OR logic would increase parity with OFAC.gov, it would materially increase false positives and analyst burden especially for common multi-word names.

A balanced approach is preferable ensuring that key distinguishing tokens (e.g., “39” in “OFFICE 39”) are not suppressed, while avoiding broad OR logic that lists entities matching only generic terms such as “Office.”

Based on the above clarification and rationale, I am marking this test feedback item as Pass.",
,36,YAKUZA,Pass,Pass,"Pass
(BORYOKUDAN / GOKUDO)",-,Pass,,-,,-,,,
,37,KPD S.A.,Pass,Pass,N/A,-,Pass,,-,,-,,,
,38,BANK ROSSIYA,Pass,"Screening using ROSSIYA (without “BANK”) failed to list the entity. Hits were instead generated on unrelated enity with aliases “RIHS"" while OFAC lists several matching records, including the main entity.","Pass
(AKTSIONERNY BANK RUSSIAN FEDERATION / AB ROSSIYA, OAO / OTKRYTOE AKTSIONERNOE OBSHCHESTVO AKTSIONERNY BANK ROSSIYA)",Using partial names shows unrelated results while missing valid OFAC records.,Pass,"Expanded suffix list (13 → 37 suffixes) including:

Space-separated variants after punctuation removal: "" s a"", "" s c"", "" de c v""
Russian organizations: "" ojsc"", "" oao"", "" ooo"", "" jsc""
International variants: "" gmbh"", "" ag"", "" se"", "" plc""
Fixed pipeline order in Entity.java:
Moved company suffix removal BEFORE stopword removal (matching Go implementation)

",-,,-,,,
,39,STROYTRANSGAZ OJSC,Pass,Screening using STROYTRANSGAZ failed to list several matching records compared to OFAC list.,"Pass
(OAO STROYTRANSGAZ)",Using partial names shows unrelated results while missing valid OFAC records.,Pass,"Solution:
Expanded suffix list (13 → 37 suffixes) including:

Space-separated variants after punctuation removal: "" s a"", "" s c"", "" de c v""
Russian organizations: "" ojsc"", "" oao"", "" ooo"", "" jsc""
International variants: "" gmbh"", "" ag"", "" se"", "" plc""
Fixed pipeline order in Entity.java:
Moved company suffix removal BEFORE stopword removal (matching Go implementation)

",-,,-,,,
,40,DONBASS PEOPLE'S MILITIA,Pass,Pass,"Pass
(PEOPLE'S MILITIA OF DONBASS)",-,Pass,,-,,-,,,
,41,DAWNLIGHT,Pass,Pass,N/A,-,Pass,,-,,-,,,
,42,NPK TEKHMASH OAO,Pass,"Screening using TEKHMASH failed to list the entity and istead listed an entity with alias ""TSNIIAG"".","Pass
(Multiple aliases)",Using partial names shows unrelated results while missing valid OFAC records.,Pass,"Solution:
Expanded suffix list (13 → 37 suffixes) including:

Space-separated variants after punctuation removal: "" s a"", "" s c"", "" de c v""
Russian organizations: "" ojsc"", "" oao"", "" ooo"", "" jsc""
International variants: "" gmbh"", "" ag"", "" se"", "" plc""
Fixed pipeline order in Entity.java:
Moved company suffix removal BEFORE stopword removal (matching Go implementation)

",-,,-,,,
,43,RA NAM 2 (Vessel),Pass,Pass,N/A,-,Pass,,-,,-,,,
,44,TONG HUNG 1 (Vessel),Pass,Pass,N/A,-,Pass,,-,,-,,,
,45,P-672 (Aircraft),Score Trace Report matched the name with another aircraft (P-632) though P-672 was listed in search results.,Pass,N/A,Wrong name matching in Score Trace Report.,Pass,"selectBestMatchForReport() method that:

exact name matches
Prefers highest-scoring entities
Uses substring matching for proximity
",-,,-,,,
,46,P-813 (Aircraft),Pass,Pass,N/A,-,Pass,,-,,-,,,
,47,STALINGRAD (Vessel),Pass,Pass,N/A,-,Pass,,-,,-,,,
,48,KUM SONG 3 (Vessel),Pass,Pass,N/A,-,Pass,,-,,-,,,
,49,EP-MOQ (Aircraft),"The hit was not correctly identified. The matched aliases were EP-MNG, EP-MNJ, EP-MNK, EP-MNQ,EP-MHG)",The hit was not correctly identified.,N/A,The true sanctioned match was not correctly identified in the results.,Pass,"1. Minimum token length filter in `JaroWinklerSimilarity.phoneticSetsMatch()` (lines 196-210): Tokens ≤4 characters must use exact/near-exact Jaro-Winkler matching instead of phonetic matching

2. Acronym collapsing in `JaroWinklerSimilarity.collapseAcronymTokens()` (lines 274-310): Handles hyphenated abbreviations by merging single-letter tokens

These fixes prevent over-permissive phonetic matching on short strings that caused false positives.",-,,-,,,
,50,AAJ (Vessel),"The hit was not correctly identified. The matched aliases were AUC, AUTODEFENSAS UNIDAS DE COLOMBIA, JAMIAT IHIA AL-TURATH AL-ISLAMIYA)",The hit was not correctly identified.,N/A,The true sanctioned match was not correctly identified in the results.,Pass,"Solution:
1. Minimum token length filter in `JaroWinklerSimilarity.phoneticSetsMatch()` (lines 196-210): Tokens ≤4 characters must use exact/near-exact Jaro-Winkler matching instead of phonetic matching

2. Acronym collapsing in `JaroWinklerSimilarity.collapseAcronymTokens()` (lines 274-310): Handles hyphenated abbreviations by merging single-letter tokens

These fixes prevent over-permissive phonetic matching on short strings that caused false positives.",-,,-,,,
,51,EP-IBT (Aircraft),Pass,Pass,N/A,-,Pass,,-,,-,,,
,52,OOO OTKRITIE CAPITAL,Pass,Screening using OTKRITIE failed to list several matching records compared to OFAC list.,Pass,Not all related OFAC-listed entities are shown in the results with partial name.,Pass,"Expanded suffix list (13 → 37 suffixes) including:

Space-separated variants after punctuation removal: "" s a"", "" s c"", "" de c v""
Russian organizations: "" ojsc"", "" oao"", "" ooo"", "" jsc""
International variants: "" gmbh"", "" ag"", "" se"", "" plc""
Fixed pipeline order in Entity.java:
Moved company suffix removal BEFORE stopword removal (matching Go implementation)

","Still, some OFAC listed entities are not returned by Watchman. (Eg:OTKRITIE LTD GROUP, OTKRITIE BANK )","Expanded suffix list from 13 to 37 suffixes, adding Russian organization types (OOO, OJSC, OAO, JSC) and international variants (GMBH, AG, SE, PLC)

Fixed pipeline order in Entity.java: Moved company suffix removal BEFORE stopword removal to match Go implementation behavior","Below entities or aliases are not listed in Watchman for the keyword ""OTKRITIE"".
a. https://sanctionssearch.ofac.treas.gov/Details.aspx?id=34497
b. https://sanctionssearch.ofac.treas.gov/Details.aspx?id=34509
c. https://sanctionssearch.ofac.treas.gov/Details.aspx?id=34499","Change: .limit(limit) now applies to unique entities BEFORE alias expansion, not total results.","The same issues persist.

The search results are limited to the top 5 entries. Please remove this restriction.","Added configurable limit input (default 50, max 100) 
"
